english,spanish
Afghanistan,Afganistán
Albania,Albania
Algeria,Argelia
Angola,Angola
Argentina,Argentina
Armenia,Armenia
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaiyán
Bahamas,Bahamas
Bahrain,Baréin
Bangladesh,Bangladés
Barbados,Barbados
Belarus,Bielorrusia
Belgium,Bélgica
Belize,Belice
Benin,Benín
Bhutan,Bután
Bolivia,Bolivia
Bosnia and Herzegovina,Bosnia-Herzegovina
Botswana,Botsuana
Brazil,Brasil
Bulgaria,Bulgaria
Burundi,Burundi
Cambodia,Camboya
Cameroon,Camerún
Canada,Canadá
Central African Republic,República Centroafricana
Chad,Chad
Chile,Chile
China,China
Colombia,Colombia
Comoros,Comoras
Congo,República del Congo
Costa Rica,Costa Rica
Croatia,Croacia
Cuba,Cuba
Cyprus,Chipre
Czech Republic,República Checa
Democratic Republic of Congo,República Democrática del Congo
Denmark,Dinamarca
Ecuador,Ecuador
Egypt,Egipto
Eritrea,Eritrea
Estonia,Estonia
Ethiopia,Etiopía
Fiji,Fiyi
Finland,Finlandia
France,Francia
Gabon,Gabón
Gambia,Gambia
Georgia,Georgia
Germany,Alemania
Ghana,Ghana
Greece,Grecia
Grenada,Granada
Guatemala,Guatemala
Guinea,Guinea
Guyana,Guyana
Haiti,Haití
Honduras,Honduras
Hungary,Hungría
Iceland,Islandia
India,India
Indonesia,Indonesia
Iran,Irán
Iraq,Irak
Ireland,Irlanda
Israel,Israel
Italy,Italia
Jamaica,Jamaica
Japan,Japón
Jordan,Jordania
Kazakhstan,Kazajistán
Kenya,Kenia
Kiribati,Kiribati
Kuwait,Kuwait
Kyrgyzstan,Kirguistán
Laos,Laos
Latvia,Letonia
Lebanon,Líbano
Lesotho,Lesoto
Liberia,Liberia
Libya,Libia
Lithuania,Lituania
Luxembourg,Luxemburgo
Macedonia,República de Macedonia
Madagascar,Madagascar
Malawi,Malaui
Malaysia,Malasia
Maldives,Maldivas
Mali,Malí
Malta,Malta
Mauritania,Mauritania
Mauritius,Mauricio
Mexico,México
Moldova,Moldavia
Mongolia,Mongolia
Montenegro,Montenegro
Morocco,Marruecos
Mozambique,Mozambique
Myanmar,Birmania
Namibia,Namibia
Nepal,Nepal
Netherlands,Países Bajos
New Zealand,Nueva Zelanda
Nicaragua,Nicaragua
Niger,Níger
Nigeria,Nigeria
North Korea,Corea del Norte
Norway,Noruega
Oman,Omán
Pakistan,Pakistán
Palestine,Palestina
Panama,Panamá
Paraguay,Paraguay
Peru,Perú
Philippines,Filipinas
Poland,Polonia
Portugal,Portugal
Puerto Rico,Puerto Rico
Qatar,Catar
Romania,Rumania
Russia,Rusia
Rwanda,Ruanda
Samoa,Samoa
Saudi Arabia,Arabia Saudita
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Singapore,Singapur
Slovakia,Eslovaquia
Slovenia,Eslovenia
Somalia,Somalia
South Africa,Sudáfrica
South Korea,Corea del Sur
Spain,España
Sri Lanka,Sri Lanka
Sudan,Sudán
Suriname,Surinam
Swaziland,Suazilandia
Sweden,Suecia
Switzerland,Suiza
Syria,Siria
Taiwan,Taiwán
Tajikistan,Tayikistán
Tanzania,Tanzania
Thailand,Tailandia
Togo,Togo
Tonga,Tonga
Tunisia,Túnez
Turkey,Turquía
Turkmenistan,Turkmenistán
Uganda,Uganda
Ukraine,Ucrania
United Arab Emirates,Emiratos Árabes Unidos
United Kingdom,Reino Unido
United States,Estados Unidos
Uruguay,Uruguay
Uzbekistan,Uzbekistán
Vanuatu,Vanuatu
Venezuela,Venezuela
Vietnam,Vietnam
World,Mundo
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabue
