english,chinese
Afghanistan,阿富汗
Albania,阿尔巴尼亚
Algeria,阿尔及利亚
Angola,安哥拉
Argentina,阿根廷
Armenia,亞美尼亞
Australia,澳大利亚
Austria,奥地利
Azerbaijan,阿塞拜疆
Bahamas,巴哈马
Bahrain,巴林
Bangladesh,孟加拉国
Barbados,巴巴多斯
Belarus,白俄罗斯
Belgium,比利时
Belize,伯利兹
Benin,贝宁
Bhutan,不丹
Bolivia,玻利維亞
Bosnia and Herzegovina,波斯尼亚和黑塞哥维那
Botswana,波札那
Brazil,巴西
Bulgaria,保加利亚
Burundi,蒲隆地
Cambodia,柬埔寨
Cameroon,喀麦隆
Canada,加拿大
Central African Republic,中非共和國
Chad,乍得
Chile,智利
China,中国
Colombia,哥伦比亚
Comoros,葛摩
Congo,刚果共和国
Costa Rica,哥斯达黎加
Croatia,克罗地亚
Cuba,古巴
Cyprus,賽普勒斯
Czech Republic,捷克
Democratic Republic of Congo,刚果民主共和国
Denmark,丹麦
Ecuador,厄瓜多尔
Egypt,埃及
Eritrea,厄立特里亚
Estonia,爱沙尼亚
Ethiopia,埃塞俄比亚
Fiji,斐濟
Finland,芬兰
France,法国
Gabon,加蓬
Gambia,冈比亚
Georgia,格鲁吉亚
Germany,德国
Ghana,加纳
Greece,希腊
Grenada,格林纳达
Guatemala,危地马拉
Guinea,几内亚
Guyana,圭亚那
Haiti,海地
Honduras,洪都拉斯
Hungary,匈牙利
Iceland,冰岛
India,印度
Indonesia,印尼
Iran,伊朗
Iraq,伊拉克
Ireland,爱尔兰
Israel,以色列
Italy,意大利
Jamaica,牙买加
Japan,日本
Jordan,约旦
Kazakhstan,哈萨克斯坦
Kenya,肯尼亚
Kiribati,基里巴斯
Kuwait,科威特
Kyrgyzstan,吉尔吉斯斯坦
Laos,老挝
Latvia,拉脫維亞
Lebanon,黎巴嫩
Lesotho,莱索托
Liberia,利比里亚
Libya,利比亚
Lithuania,立陶宛
Luxembourg,卢森堡
Macedonia,馬其頓共和國
Madagascar,马达加斯加
Malawi,马拉维
Malaysia,马来西亚
Maldives,马尔代夫
Mali,马里
Malta,马耳他
Mauritania,毛里塔尼亚
Mauritius,毛里求斯
Mexico,墨西哥
Moldova,摩尔多瓦
Mongolia,蒙古国
Montenegro,蒙特內哥羅
Morocco,摩洛哥
Mozambique,莫桑比克
Myanmar,缅甸
Namibia,纳米比亚
Nepal,尼泊尔
Netherlands,荷兰
New Zealand,新西兰
Nicaragua,尼加拉瓜
Niger,尼日尔
Nigeria,尼日利亚
North Korea,北朝鲜
Norway,挪威
Oman,阿曼
Pakistan,巴基斯坦
Palestine,巴勒斯坦
Panama,巴拿马
Paraguay,巴拉圭
Peru,秘鲁
Philippines,菲律宾
Poland,波兰
Portugal,葡萄牙
Puerto Rico,波多黎各
Qatar,卡塔尔
Romania,羅馬尼亞
Russia,俄罗斯
Rwanda,卢旺达
Samoa,萨摩亚
Saudi Arabia,沙特阿拉伯
Senegal,塞内加尔
Serbia,塞尔维亚
Seychelles,塞舌尔
Singapore,新加坡
Slovakia,斯洛伐克
Slovenia,斯洛文尼亚
Somalia,索马里
South Africa,南非
South Korea,韩国
Spain,西班牙
Sri Lanka,斯里蘭卡
Sudan,苏丹
Suriname,苏里南
Swaziland,斯威士兰
Sweden,瑞典
Switzerland,瑞士
Syria,叙利亚
Taiwan,台湾
Tajikistan,塔吉克斯坦
Tanzania,坦桑尼亚
Thailand,泰国
Togo,多哥
Tonga,東加
Tunisia,突尼西亞
Turkey,土耳其
Turkmenistan,土库曼斯坦
Uganda,乌干达
Ukraine,乌克兰
United Arab Emirates,阿拉伯联合酋长国
United Kingdom,英国
United States,美国
Uruguay,乌拉圭
Uzbekistan,乌兹别克斯坦
Vanuatu,瓦努阿图
Venezuela,委内瑞拉
Vietnam,越南
World,世界
Yemen,也门
Zambia,赞比亚
Zimbabwe,津巴布韦
